Depth (ft)	Density (g/cc)
1762	2.6556
1762.5	2.6283
1763	2.6028
1763.5	2.6056
1764	2.5912
1764.5	2.6115
1765	2.5949
1765.5	2.6102
1766	2.6119
1766.5	2.6227
1767	2.6233
1767.5	2.6466
1768	2.6551
1768.5	2.6483
1769	2.6475
1769.5	2.6452
1770	2.6683
1770.5	2.6689
1771	2.6471
1771.5	2.6347
1772	2.6646
1772.5	2.646
1773	2.6717
1773.5	2.6489
1774	2.6382
1774.5	2.624
1775	2.6311
1775.5	2.6587
1776	2.6523
1776.5	2.647
1777	2.6422
1777.5	2.6264
1778	2.6453
1778.5	2.6426
1779	2.6466
1779.5	2.6569
1780	2.6356
1780.5	2.6378
1781	2.6459
1781.5	2.6418
1782	2.6469
1782.5	2.6398
1783	2.6547
1783.5	2.6476
1784	2.6333
1784.5	2.6381
1785	2.6615
1785.5	2.6761
1786	2.6659
1786.5	2.6595
1787	2.6548
1787.5	2.6503
1788	2.6288
1788.5	2.6534
1789	2.6775
1789.5	2.647
1790	2.6657
1790.5	2.6595
1791	2.6485
1791.5	2.6531
1792	2.657
1792.5	2.6608
1793	2.6735
1793.5	2.6277
1794	2.644
1794.5	2.6279
1795	2.6246
1795.5	2.6247
1796	2.637
1796.5	2.6327
1797	2.6235
1797.5	2.6492
1798	2.6563
1798.5	2.65
1799	2.6638
1799.5	2.6666
1800	2.6497
1800.5	2.651
1801	2.66
1801.5	2.6547
1802	2.6368
1802.5	2.6486
1803	2.67
1803.5	2.6614
1804	2.6362
1804.5	2.6276
1805	2.6096
1805.5	2.5935
1806	2.5756
1806.5	2.6131
1807	2.6378
1807.5	2.6264
1808	2.6259
1808.5	2.6077
1809	2.6298
1809.5	2.6394
1810	2.6067
1810.5	2.636
1811	2.6533
1811.5	2.6727
1812	2.6721
1812.5	2.6602
1813	2.6105
1813.5	2.5881
1814	2.5918
1814.5	2.577
1815	2.6122
1815.5	2.6076
1816	2.5913
1816.5	2.589
1817	2.6235
1817.5	2.6262
1818	2.5871
1818.5	2.6141
1819	2.6242
1819.5	2.5765
1820	2.5814
1820.5	2.5714
1821	2.6003
1821.5	2.5952
1822	2.6495
1822.5	2.6479
1823	2.6291
1823.5	2.6525
1824	2.6594
1824.5	2.6161
1825	2.6078
1825.5	2.6417
1826	2.6588
1826.5	2.657
1827	2.6521
1827.5	2.6486
1828	2.6686
1828.5	2.6348
1829	2.6351
1829.5	2.6403
1830	2.6357
1830.5	2.6178
1831	2.6532
1831.5	2.6498
1832	2.653
1832.5	2.6448
1833	2.6354
1833.5	2.6548
1834	2.6366
1834.5	2.6182
1835	2.6285
1835.5	2.6486
1836	2.648
1836.5	2.6474
1837	2.6468
1837.5	2.6379
1838	2.6179
1838.5	2.6428
1839	2.6398
1839.5	2.6413
1840	2.624
1840.5	2.627
1841	2.5855
1841.5	2.5868
1842	2.5941
1842.5	2.6322
1843	2.6235
1843.5	2.6216
1844	2.6038
1844.5	2.6224
1845	2.6277
1845.5	2.6026
1846	2.6347
1846.5	2.6227
1847	2.6395
1847.5	2.6425
1848	2.6375
1848.5	2.6632
1849	2.6421
1849.5	2.6334
1850	2.63
1850.5	2.6343
1851	2.6452
1851.5	2.6001
1852	2.5984
1852.5	2.5931
1853	2.6322
1853.5	2.6466
1854	2.6475
1854.5	2.6281
1855	2.6656
1855.5	2.6418
1856	2.6586
1856.5	2.6519
1857	2.6304
1857.5	2.6354
1858	2.6465
1858.5	2.6518
1859	2.6272
1859.5	2.6196
1860	2.6399
1860.5	2.6536
1861	2.6748
1861.5	2.6565
1862	2.6623
1862.5	2.6523
1863	2.6511
1863.5	2.6337
1864	2.6506
1864.5	2.6467
1865	2.6716
1865.5	2.6298
1866	2.5971
1866.5	2.5997
1867	2.6043
1867.5	2.625
1868	2.6324
1868.5	2.6532
1869	2.6835
1869.5	2.6592
1870	2.6604
1870.5	2.6697
1871	2.6663
1871.5	2.6845
1872	2.663
1872.5	2.6495
1873	2.6255
1873.5	2.628
1874	2.6218
1874.5	2.6259
1875	2.644
1875.5	2.6467
1876	2.6543
1876.5	2.6505
1877	2.6203
1877.5	2.6051
1878	2.6196
1878.5	2.6209
1879	2.6203
1879.5	2.6375
1880	2.645
1880.5	2.6658
1881	2.6328
1881.5	2.6305
1882	2.638
1882.5	2.6345
1883	2.6096
1883.5	2.6226
1884	2.6211
1884.5	2.6316
1885	2.6324
1885.5	2.6094
1886	2.6362
1886.5	2.6239
1887	2.6351
1887.5	2.6293
1888	2.6435
1888.5	2.6468
1889	2.654
1889.5	2.6585
1890	2.6546
1890.5	2.6647
1891	2.6408
1891.5	2.6428
1892	2.5993
1892.5	2.6189
1893	2.6254
1893.5	2.63
1894	2.6379
1894.5	2.6349
1895	2.6659
1895.5	2.6601
1896	2.652
1896.5	2.6538
1897	2.6758
1897.5	2.6382
1898	2.6442
1898.5	2.6261
1899	2.6454
1899.5	2.6327
1900	2.6323
1900.5	2.6428
1901	2.5988
1901.5	2.6218
1902	2.6338
1902.5	2.6454
1903	2.6713
1903.5	2.6396
1904	2.6577
1904.5	2.63
1905	2.6272
1905.5	2.6682
1906	2.6681
1906.5	2.658
1907	2.6294
1907.5	2.6401
1908	2.6454
1908.5	2.6456
1909	2.6419
1909.5	2.6449
1910	2.6453
1910.5	2.6471
1911	2.6429
1911.5	2.647
1912	2.6323
1912.5	2.6525
1913	2.6664
1913.5	2.656
1914	2.6609
1914.5	2.6752
1915	2.6536
1915.5	2.6254
1916	2.6093
1916.5	2.6316
1917	2.6522
1917.5	2.666
1918	2.6683
1918.5	2.6461
1919	2.6386
1919.5	2.6319
1920	2.659
1920.5	2.6341
1921	2.6567
1921.5	2.6639
1922	2.6684
1922.5	2.6656
1923	2.6557
1923.5	2.6463
1924	2.6378
1924.5	2.6366
1925	2.6323
1925.5	2.6402
1926	2.6586
1926.5	2.6402
1927	2.667
1927.5	2.6631
1928	2.6583
1928.5	2.6481
1929	2.6369
1929.5	2.64
1930	2.6635
1930.5	2.6501
1931	2.6569
1931.5	2.6568
1932	2.6592
1932.5	2.6079
1933	2.6451
1933.5	2.6271
1934	2.6336
1934.5	2.655
1935	2.6385
1935.5	2.6364
1936	2.6415
1936.5	2.6526
1937	2.6368
1937.5	2.6232
1938	2.6414
1938.5	2.6198
1939	2.6391
1939.5	2.6441
1940	2.6682
1940.5	2.6662
1941	2.6664
1941.5	2.6541
1942	2.6676
1942.5	2.6627
1943	2.6406
1943.5	2.643
1944	2.6384
1944.5	2.6211
1945	2.6222
1945.5	2.6477
1946	2.6466
1946.5	2.621
1947	2.6382
1947.5	2.6538
1948	2.6506
1948.5	2.6239
1949	2.631
1949.5	2.6146
1950	2.6194
1950.5	2.6506
1951	2.6224
1951.5	2.6255
1952	2.6294
1952.5	2.639
1953	2.6198
1953.5	2.6174
1954	2.6156
1954.5	2.6222
1955	2.5906
1955.5	2.5993
1956	2.5926
1956.5	2.6313
1957	2.6323
1957.5	2.6045
1958	2.6019
1958.5	2.6205
1959	2.6148
1959.5	2.6022
1960	2.5958
1960.5	2.6186
1961	2.6235
1961.5	2.6247
1962	2.6342
1962.5	2.6044
1963	2.6053
1963.5	2.626
1964	2.6264
1964.5	2.6308
1965	2.6003
1965.5	2.6069
1966	2.6277
1966.5	2.6507
1967	2.637
1967.5	2.654
1968	2.6244
1968.5	2.6555
1969	2.6455
1969.5	2.6421
1970	2.6364
1970.5	2.624
1971	2.6302
1971.5	2.6072
1972	2.6541
1972.5	2.6536
1973	2.6525
1973.5	2.6373
1974	2.6434
1974.5	2.6755
1975	2.6832
1975.5	2.6696
1976	2.6209
1976.5	2.625
1977	2.6274
1977.5	2.6518
1978	2.6548
1978.5	2.65
1979	2.6728
1979.5	2.64
1980	2.6392
1980.5	2.6453
1981	2.6635
1981.5	2.6603
1982	2.6492
1982.5	2.6608
1983	2.644
1983.5	2.6395
1984	2.6465
1984.5	2.6212
1985	2.6411
1985.5	2.6257
1986	2.6234
1986.5	2.6293
1987	2.6114
1987.5	2.6206
1988	2.6374
1988.5	2.6385
1989	2.6348
1989.5	2.6333
1990	2.6383
1990.5	2.6667
1991	2.6503
1991.5	2.6671
1992	2.6424
1992.5	2.6626
1993	2.649
1993.5	2.6413
1994	2.649
1994.5	2.6469
1995	2.6234
1995.5	2.6048
1996	2.6328
1996.5	2.6323
1997	2.6367
1997.5	2.6628
1998	2.6685
1998.5	2.6682
1999	2.6611
1999.5	2.6715
2000	2.6397
2000.5	2.6246
2001	2.6281
2001.5	2.6463
2002	2.6431
2002.5	2.6432
2003	2.605
2003.5	2.6424
2004	2.6395
2004.5	2.6829
2005	2.6827
2005.5	2.6552
2006	2.6598
2006.5	2.6504
2007	2.6527
2007.5	2.6468
2008	2.6241
2008.5	2.6495
2009	2.6407
2009.5	2.6389
2010	2.6399
2010.5	2.66
2011	2.6572
2011.5	2.657
2012	2.6574
2012.5	2.6598
2013	2.6608
2013.5	2.627
2014	2.6106
2014.5	2.6326
2015	2.6507
2015.5	2.6518
2016	2.6414
2016.5	2.6428
2017	2.6481
2017.5	2.6485
2018	2.6213
2018.5	2.6354
2019	2.6359
2019.5	2.6463
2020	2.6528
2020.5	2.6665
2021	2.6382
2021.5	2.6262
2022	2.6172
2022.5	2.6216
2023	2.6557
2023.5	2.6454
2024	2.6292
2024.5	2.6341
2025	2.6258
2025.5	2.6399
2026	2.6252
2026.5	2.613
2027	2.6377
2027.5	2.6596
2028	2.6726
2028.5	2.6481
2029	2.6092
2029.5	2.6249
2030	2.6271
2030.5	2.6481
2031	2.6468
2031.5	2.6589
2032	2.6277
2032.5	2.6461
2033	2.6286
2033.5	2.6389
2034	2.6425
2034.5	2.6347
2035	2.6425
2035.5	2.6292
2036	2.619
2036.5	2.6506
2037	2.64
2037.5	2.6404
2038	2.6154
2038.5	2.6267
2039	2.6336
2039.5	2.6378
2040	2.6028
2040.5	2.6167
2041	2.6248
2041.5	2.6414
2042	2.6436
2042.5	2.6619
2043	2.6669
2043.5	2.6761
2044	2.6693
2044.5	2.6735
2045	2.6644
2045.5	2.6626
2046	2.6445
2046.5	2.638
2047	2.6499
2047.5	2.6525
2048	2.6508
2048.5	2.6377
2049	2.6371
2049.5	2.6387
2050	2.629
2050.5	2.6492
2051	2.6329
2051.5	2.6014
2052	2.5861
2052.5	2.637
2053	2.6394
2053.5	2.6381
2054	2.6509
2054.5	2.6434
2055	2.648
2055.5	2.6386
2056	2.6389
2056.5	2.644
2057	2.6586
2057.5	2.6395
2058	2.6355
2058.5	2.5984
2059	2.6248
2059.5	2.6308
2060	2.6408
2060.5	2.6107
2061	2.6426
2061.5	2.6306
2062	2.6571
2062.5	2.6236
2063	2.6445
2063.5	2.6611
2064	2.6543
2064.5	2.6486
2065	2.6428
2065.5	2.6343
2066	2.6591
2066.5	2.6591
2067	2.6378
2067.5	2.6371
2068	2.6291
2068.5	2.6368
2069	2.6358
2069.5	2.6478
2070	2.6532
2070.5	2.647
2071	2.632
2071.5	2.6938
2072	2.76
2072.5	2.6233
2073	2.6121
2073.5	2.6248
2074	2.6263
2074.5	2.6297
2075	2.6201
2075.5	2.6405
2076	2.6702
2076.5	2.6641
2077	2.6528
2077.5	2.6466
2078	2.6301
2078.5	2.6164
2079	2.6094
2079.5	2.6413
2080	2.6568
2080.5	2.6412
2081	2.6473
2081.5	2.6607
2082	2.675
2082.5	2.6656
2083	2.6485
2083.5	2.6588
2084	2.6592
2084.5	2.6553
2085	2.636
2085.5	2.6563
2086	2.6422
2086.5	2.6267
2087	2.6503
2087.5	2.6144
2088	2.6236
2088.5	2.6371
2089	2.635
2089.5	2.6375
2090	2.6575
2090.5	2.6612
2091	2.6511
2091.5	2.6715
2092	2.6584
2092.5	2.6582
2093	2.6628
2093.5	2.6408
2094	2.6293
2094.5	2.6496
2095	2.6391
2095.5	2.6541
2096	2.6275
2096.5	2.6227
2097	2.638
2097.5	2.6284
2098	2.6374
2098.5	2.6515
2099	2.6579
2099.5	2.6661
2100	2.652
2100.5	2.6521
2101	2.6464
2101.5	2.6301
2102	2.626
2102.5	2.626
2103	2.6418
2103.5	2.6532
2104	2.6765
2104.5	2.6662
2105	2.6445
2105.5	2.6384
2106	2.6539
2106.5	2.6605
2107	2.6558
2107.5	2.6521
2108	2.6264
2108.5	2.6437
2109	2.6591
2109.5	2.6649
2110	2.6904
2110.5	2.6814
2111	2.6625
2111.5	2.6585
2112	2.6614
2112.5	2.6553
2113	2.6182
2113.5	2.6566
2114	2.6586
2114.5	2.6709
2115	2.6699
2115.5	2.6629
2116	2.6271
2116.5	2.6307
2117	2.6313
2117.5	2.6262
2118	2.6435
2118.5	2.6195
2119	2.6569
2119.5	2.649
2120	2.6493
2120.5	2.632
2121	2.6271
2121.5	2.6379
2122	2.6331
2122.5	2.6228
2123	2.6189
2123.5	2.6356
2124	2.6425
2124.5	2.6575
2125	2.6752
2125.5	2.6711
2126	2.6672
2126.5	2.6492
2127	2.6568
2127.5	2.6488
2128	2.6658
2128.5	2.6198
2129	2.6286
2129.5	2.6292
2130	2.6454
2130.5	2.6383
2131	2.6443
2131.5	2.6324
2132	2.6279
2132.5	2.6401
2133	2.6407
2133.5	2.6296
2134	2.6019
2134.5	2.6112
2135	2.5961
2135.5	2.6554
2136	2.6908
2136.5	2.6452
2137	2.6541
2137.5	2.626
2138	2.6354
2138.5	2.6397
2139	2.6495
2139.5	2.6591
2140	2.6344
2140.5	2.6334
2141	2.6498
2141.5	2.6227
2142	2.6514
2142.5	2.6513
2143	2.6308
2143.5	2.6163
2144	2.6484
2144.5	2.6311
2145	2.6581
2145.5	2.6768
2146	2.6526
2146.5	2.6546
2147	2.6329
2147.5	2.6307
2148	2.631
2148.5	2.646
2149	2.628
2149.5	2.6346
2150	2.659
2150.5	2.6412
2151	2.6588
2151.5	2.652
2152	2.6364
2152.5	2.6446
2153	2.6317
2153.5	2.642
2154	2.6294
2154.5	2.6228
2155	2.6193
2155.5	2.6298
2156	2.6156
2156.5	2.6322
2157	2.6357
2157.5	2.6598
2158	2.6534
2158.5	2.6469
2159	2.6337
2159.5	2.6404
2160	2.6552
2160.5	2.6446
2161	2.6161
2161.5	2.5978
2162	2.6365
2162.5	2.639
2163	2.6649
2163.5	2.6717
2164	2.6761
2164.5	2.6555
2165	2.6273
2165.5	2.6247
2166	2.6217
2166.5	2.6266
2167	2.6313
2167.5	2.6353
2168	2.6389
2168.5	2.6503
2169	2.6302
2169.5	2.6505
2170	2.6384
2170.5	2.6364
2171	2.6407
2171.5	2.6585
2172	2.6735
2172.5	2.6687
2173	2.6634
2173.5	2.6551
2174	2.6484
2174.5	2.6374
2175	2.6392
2175.5	2.6473
2176	2.6644
2176.5	2.6341
2177	2.6312
2177.5	2.6325
2178	2.6552
2178.5	2.6744
2179	2.6507
2179.5	2.6493
2180	2.64
2180.5	2.6268
2181	2.6378
2181.5	2.6458
2182	2.6573
2182.5	2.633
2183	2.6642
2183.5	2.6458
2184	2.6497
2184.5	2.6675
2185	2.6457
2185.5	2.6408
2186	2.6362
2186.5	2.6497
2187	2.6543
2187.5	2.6787
2188	2.682
2188.5	2.6657
2189	2.6613
2189.5	2.668
2190	2.6624
2190.5	2.6519
2191	2.6354
2191.5	2.6653
2192	2.6595
2192.5	2.6561
2193	2.6636
2193.5	2.6535
2194	2.6584
2194.5	2.6412
2195	2.6373
2195.5	2.6447
2196	2.667
2196.5	2.6596
2197	2.6567
2197.5	2.6455
2198	2.6277
2198.5	2.6307
2199	2.6667
2199.5	2.6818
2200	2.6478
2200.5	2.6391
2201	2.6274
2201.5	2.6268
2202	2.6239
2202.5	2.6405
2203	2.6496
2203.5	2.6714
2204	2.6732
2204.5	2.6411
2205	2.6431
2205.5	2.6434
2206	2.6548
2206.5	2.6787
2207	2.6589
2207.5	2.6587
2208	2.647
2208.5	2.6612
2209	2.6463
2209.5	2.6424
2210	2.6394
2210.5	2.6577
2211	2.6615
2211.5	2.6512
2212	2.6517
2212.5	2.6606
2213	2.6353
2213.5	2.6264
2214	2.6503
2214.5	2.6437
2215	2.6381
2215.5	2.636
2216	2.6561
2216.5	2.6528
2217	2.662
2217.5	2.676
2218	2.6539
2218.5	2.6579
2219	2.6427
2219.5	2.6607
2220	2.6691
2220.5	2.6621
2221	2.6456
2221.5	2.6347
2222	2.6368
2222.5	2.6385
2223	2.6379
2223.5	2.6303
2224	2.6679
2224.5	2.6594
2225	2.6631
2225.5	2.6698
2226	2.6642
2226.5	2.661
2227	2.6737
2227.5	2.6455
2228	2.6486
2228.5	2.6637
2229	2.6497
2229.5	2.6513
2230	2.6309
2230.5	2.6358
2231	2.6496
2231.5	2.6456
2232	2.6277
2232.5	2.6509
2233	2.6253
2233.5	2.6393
2234	2.6306
2234.5	2.6211
2235	2.6391
2235.5	2.6389
2236	2.6417
2236.5	2.6375
2237	2.6586
2237.5	2.634
2238	2.6283
2238.5	2.6386
2239	2.633
2239.5	2.6425
2240	2.627
2240.5	2.635
2241	2.6616
2241.5	2.647
2242	2.6314
2242.5	2.6336
2243	2.6475
2243.5	2.6514
2244	2.6419
2244.5	2.657
2245	2.6534
2245.5	2.6391
2246	2.627
2246.5	2.6396
2247	2.6419
2247.5	2.6575
2248	2.647
2248.5	2.6453
2249	2.6015
2249.5	2.6224
2250	2.6348
2250.5	2.6459
2251	2.6499
2251.5	2.6658
2252	2.6689
2252.5	2.6569
2253	2.6535
2253.5	2.6588
2254	2.6432
2254.5	2.6364
2255	2.663
2255.5	2.6696
2256	2.6517
2256.5	2.646
2257	2.6399
2257.5	2.6501
2258	2.6571
2258.5	2.6589
2259	2.6525
2259.5	2.6457
2260	2.6417
2260.5	2.6423
2261	2.6418
2261.5	2.6576
2262	2.6445
2262.5	2.6517
2263	2.6587
2263.5	2.6535
2264	2.6277
2264.5	2.6556
2265	2.6543
2265.5	2.6436
2266	2.6528
2266.5	2.6533
2267	2.6333
2267.5	2.6277
2268	2.6167
2268.5	2.6428
2269	2.6282
2269.5	2.6108
2270	2.636
2270.5	2.6475
2271	2.6638
2271.5	2.6421
2272	2.6574
2272.5	2.6612
2273	2.6655
2273.5	2.6363
2274	2.6437
2274.5	2.6466
2275	2.6461
2275.5	2.6542
2276	2.6539
2276.5	2.6673
2277	2.6556
2277.5	2.633
2278	2.6386
2278.5	2.6416
2279	2.6402
2279.5	2.6411
2280	2.6337
2280.5	2.65
2281	2.6098
2281.5	2.6145
2282	2.6239
2282.5	2.6127
2283	2.6146
2283.5	2.6352
2284	2.6266
2284.5	2.6208
2285	2.6174
2285.5	2.6283
2286	2.6247
2286.5	2.6437
2287	2.6712
2287.5	2.6488
2288	2.6277
2288.5	2.6357
2289	2.6186
2289.5	2.6276
2290	2.635
2290.5	2.6266
2291	2.6173
2291.5	2.6235
2292	2.6275
2292.5	2.5784
2293	2.6211
2293.5	2.6828
2294	2.6627
2294.5	2.6888
2295	2.6707
2295.5	2.6668
2296	2.6797
2296.5	2.6577
2297	2.6539
2297.5	2.6565
2298	2.649
2298.5	2.6471
2299	2.6791
2299.5	2.6712
2300	2.6654
2300.5	2.6459
2301	2.6279
2301.5	2.6156
2302	2.6137
2302.5	2.6169
2303	2.6062
2303.5	2.6063
2304	2.6323
2304.5	2.628
2305	2.6367
2305.5	2.6421
2306	2.642
2306.5	2.6273
2307	2.5917
2307.5	2.6375
2308	2.6242
2308.5	2.6157
2309	2.6394
2309.5	2.6585
2310	2.648
2310.5	2.6409
2311	2.601
2311.5	2.6293
2312	2.613
2312.5	2.6221
2313	2.6575
2313.5	2.6507
2314	2.6264
2314.5	2.6458
2315	2.6225
2315.5	2.6436
2316	2.6195
2316.5	2.6223
2317	2.6271
2317.5	2.6337
2318	2.6271
2318.5	2.6177
2319	2.5853
2319.5	2.6151
2320	2.6199
2320.5	2.6483
2321	2.6501
2321.5	2.6209
2322	2.6012
2322.5	2.6171
2323	2.6083
2323.5	2.6463
2324	2.6297
2324.5	2.6341
2325	2.5779
2325.5	2.6187
2326	2.5923
2326.5	2.6547
2327	2.5988
2327.5	2.6288
2328	2.6432
2328.5	2.6702
2329	2.6769
2329.5	2.6494
2330	2.6497
2330.5	2.6568
2331	2.655
2331.5	2.7017
2332	2.6792
2332.5	2.6865
2333	2.6708
2333.5	2.6792
2334	2.6671
2334.5	2.655
2335	2.6427
2335.5	2.6527
2336	2.653
2336.5	2.6394
2337	2.6529
2337.5	2.6407
2338	2.6366
2338.5	2.6287
2339	2.6343
2339.5	2.6695
2340	2.6881
2340.5	2.6719
2341	2.6864
2341.5	2.6774
2342	2.6609
2342.5	2.6601
2343	2.6235
2343.5	2.5569
2344	2.565
2344.5	2.6343
2345	2.6145
2345.5	2.6276
2346	2.6184
2346.5	2.628
2347	2.5947
2347.5	2.5984
2348	2.5415
2348.5	2.6914
2349	2.645
2349.5	2.6209
2350	2.6243
2350.5	2.6052
2351	2.6168
2351.5	2.5984
2352	2.5935
2352.5	2.5878
2353	2.6038
2353.5	2.6335
2354	2.6245
2354.5	2.613
2355	2.6176
2355.5	2.5986
2356	2.6052
2356.5	2.565
2357	2.6318
2357.5	2.5786
2358	2.5779
2358.5	2.5515
2359	2.634
2359.5	2.663
2360	2.5889
2360.5	2.6338
2361	2.6455
2361.5	2.6467
2362	2.6098
2362.5	2.6163
2363	2.6125
2363.5	2.6417
2364	2.639
2364.5	2.6403
2365	2.6381
2365.5	2.6096
2366	2.6489
2366.5	2.6242
2367	2.6498
2367.5	2.6362
2368	2.6299
2368.5	2.6506
2369	2.6176
2369.5	2.6366
2370	2.6504
2370.5	2.6211
2371	2.6612
2371.5	2.6719
2372	2.643
2372.5	2.6271
2373	2.6325
2373.5	2.6238
2374	2.6448
2374.5	2.6486
2375	2.624
2375.5	2.6243
2376	2.63
2376.5	2.6139
2377	2.6474
2377.5	2.6722
2378	2.656
2378.5	2.6752
2379	2.6651
2379.5	2.6472
2380	2.6552
2380.5	2.6434
2381	2.6434
2381.5	2.6206
2382	2.6354
2382.5	2.6651
2383	2.623
2383.5	2.6357
2384	2.6279
2384.5	2.6436
2385	2.6391
2385.5	2.6797
2386	2.6641
2386.5	2.6412
2387	2.6452
2387.5	2.663
2388	2.6726
2388.5	2.6523
2389	2.606
2389.5	2.5753
2390	2.5896
2390.5	2.6977
2391	2.6656
2391.5	2.6241
2392	2.5956
2392.5	2.6252
2393	2.6771
2393.5	2.6579
2394	2.649
2394.5	2.6355
2395	2.651
2395.5	2.6255
2396	2.5775
2396.5	2.6351
2397	2.6187
2397.5	2.623
2398	2.6258
2398.5	2.6328
2399	2.6395
2399.5	2.6485
2400	2.6354
2400.5	2.6371
2401	2.6472
2401.5	2.6591
2402	2.6719
2402.5	2.6582
2403	2.6442
2403.5	2.6816
2404	2.6508
2404.5	2.677
2405	2.658
2405.5	2.6603
2406	2.6273
2406.5	2.6105
2407	2.6421
2407.5	2.6544
2408	2.6236
2408.5	2.6543
2409	2.6256
2409.5	2.64
2410	2.6474
2410.5	2.663
2411	2.6135
2411.5	2.6438
2412	2.6845
2412.5	2.6582
2413	2.6637
2413.5	2.6649
2414	2.6897
2414.5	2.6797
2415	2.6837
2415.5	2.6788
2416	2.6393
2416.5	2.6421
2417	2.6515
2417.5	2.6448
2418	2.6396
2418.5	2.6344
2419	2.656
2419.5	2.6544
2420	2.6615
2420.5	2.6547
2421	2.6644
2421.5	2.6639
2422	2.6661
2422.5	2.6854
2423	2.6725
2423.5	2.6606
2424	2.6489
2424.5	2.6737
2425	2.6642
2425.5	2.6544
2426	2.6468
2426.5	2.6416
2427	2.6641
2427.5	2.6644
2428	2.6494
2428.5	2.6532
2429	2.6542
2429.5	2.6565
2430	2.6523
2430.5	2.644
2431	2.6216
2431.5	2.6654
2432	2.6588
2432.5	2.6636
2433	2.6661
2433.5	2.6451
2434	2.6679
2434.5	2.6076
2435	2.6313
2435.5	2.6521
2436	2.6492
2436.5	2.6832
2437	2.6731
2437.5	2.6861
2438	2.6596
2438.5	2.6864
2439	2.6728
2439.5	2.6804
2440	2.7014
2440.5	2.6964
2441	2.6884
2441.5	2.6659
2442	2.6816
2442.5	2.6694
2443	2.6461
2443.5	2.6336
2444	2.6304
2444.5	2.6554
2445	2.6543
2445.5	2.6566
2446	2.6814
2446.5	2.6466
2447	2.6575
2447.5	2.6447
2448	2.6518
2448.5	2.64
2449	2.6538
2449.5	2.6562
2450	2.6689
2450.5	2.6674
2451	2.6551
2451.5	2.6401
2452	2.6598
2452.5	2.637
2453	2.639
2453.5	2.6685
2454	2.681
2454.5	2.635
2455	2.6312
2455.5	2.6085
2456	2.6398
2456.5	2.6379
2457	2.628
2457.5	2.6451
2458	2.6394
2458.5	2.6255
2459	2.6349
2459.5	2.6576
2460	2.6305
2460.5	2.626
2461	2.6233
2461.5	2.6432
2462	2.6278
2462.5	2.6399
2463	2.6369
2463.5	2.63
2464	2.6257
2464.5	2.6281
2465	2.6397
2465.5	2.6296
2466	2.6326
2466.5	2.636
2467	2.6505
2467.5	2.6606
2468	2.6659
2468.5	2.6845
2469	2.6905
2469.5	2.6798
2470	2.6622
2470.5	2.6467
2471	2.625
2471.5	2.6313
2472	2.6396
2472.5	2.6257
2473	2.6522
2473.5	2.6449
2474	2.6391
2474.5	2.6583
2475	2.6558
2475.5	2.6755
2476	2.6793
2476.5	2.6535
2477	2.6437
2477.5	2.6478
2478	2.6566
2478.5	2.6504
2479	2.6348
2479.5	2.654
2480	2.6484
2480.5	2.6647
2481	2.6795
2481.5	2.6853
2482	2.6614
2482.5	2.6476
2483	2.6362
2483.5	2.6215
2484	2.6326
2484.5	2.6454
2485	2.6486
2485.5	2.6248
2486	2.6527
2486.5	2.6668
2487	2.6839
2487.5	2.6764
2488	2.6688
2488.5	2.6623
2489	2.6557
2489.5	2.6572
2490	2.7007
2490.5	2.6978
2491	2.6906
2491.5	2.6925
2492	2.6733
2492.5	2.6671
2493	2.6477
2493.5	2.6388
2494	2.6721
2494.5	2.6445
2495	2.6401
2495.5	2.6328
2496	2.6181
2496.5	2.663
2497	2.6458
2497.5	2.6469
2498	2.6564
2498.5	2.6405
2499	2.6404
2499.5	2.6383
2500	2.6503
2500.5	2.6496
2501	2.6788
2501.5	2.656
2502	2.6254
2502.5	2.6308
2503	2.611
2503.5	2.6286
2504	2.6339
2504.5	2.6567
2505	2.637
2505.5	2.6246
2506	2.6493
2506.5	2.6634
2507	2.6533
2507.5	2.6865
2508	2.6598
2508.5	2.6409
2509	2.6326
2509.5	2.6368
2510	2.6536
2510.5	2.6517
2511	2.6623
2511.5	2.6766
2512	2.6461
2512.5	2.6275
2513	2.6234
2513.5	2.6215
2514	2.6387
2514.5	2.6419
2515	2.6475
2515.5	2.6258
2516	2.5729
2516.5	2.6362
2517	2.6509
2517.5	2.6659
2518	2.6469
2518.5	2.6604
2519	2.6369
2519.5	2.6474
2520	2.6286
2520.5	2.6348
2521	2.6343
2521.5	2.6326
2522	2.6497
2522.5	2.6401
2523	2.6542
2523.5	2.6679
2524	2.6596
2524.5	2.638
2525	2.6379
2525.5	2.6454
2526	2.631
2526.5	2.6457
2527	2.643
2527.5	2.6321
2528	2.6075
2528.5	2.6317
2529	2.6474
2529.5	2.6542
2530	2.6568
2530.5	2.6376
2531	2.6614
2531.5	2.6588
2532	2.6552
2532.5	2.6569
2533	2.6398
2533.5	2.6558
2534	2.6386
2534.5	2.6672
2535	2.6412
2535.5	2.6288
2536	2.6371
2536.5	2.6541
2537	2.6565
2537.5	2.6563
2538	2.6512
2538.5	2.6474
2539	2.6606
2539.5	2.6591
2540	2.6654
2540.5	2.6593
2541	2.6489
2541.5	2.6387
2542	2.6475
2542.5	2.6334
2543	2.6355
2543.5	2.6441
2544	2.6255
2544.5	2.6127
2545	2.6273
2545.5	2.6157
2546	2.6254
2546.5	2.6345
2547	2.6375
